CorpName,StockCode,DartCode,CurrnetAsset,TotalLiab,MarketValue,NetAsset,NetAsset/MarketValue
엑세스바이오,950130,00956028,223777988.0,105042408.0,570153773900,118735580.0,0.00020825185315852208
글로벌에스엠,900070,00783246,537868500.0,250975376.0,54281407680,286893124.0,0.005285292630789785
씨케이에이치,900120,00800084,381726276.0,59582988.0,33846356146,322143288.0,0.0095178129843697
GRT,900290,01170962,2466895765.0,2014550828.0,83208125000,452344937.0,0.005436307295711807
윙입푸드,900340,01328639,612060763.0,176761683.0,55169442200,435299080.0,0.007890220793278203
로스웰,900260,01139266,1475315068.0,745564773.0,43778015649,729750295.0,0.01666933240763893
골든센츄리,900280,01168143,1159176666.0,180781325.0,60388168122,978395341.0,0.016201772158800774
SBI핀테크솔루션즈,950110,00938688,31648339000.0,35153372000.0,157544137000,-3505033000.0,-0.022247943127201235
영신금속,007530,00140858,51480874082.0,93504592617.0,59153184420,-42023718535.0,-0.7104219146787228
웹젠,069080,00405320,337239042862.0,96245714604.0,898661997800,240993328258.0,0.26816904336443725
우리넷,115440,00664048,74631299337.0,37564385258.0,76384851840,37066914079.0,0.48526524809712845
나노,187790,00994994,35564464436.0,32651919009.0,46150419975,2912545427.0,0.06310983580599583
손오공,066910,00306870,29867783082.0,23745221177.0,63340459155,6122561905.0,0.096661154445021
새로닉스,042600,00147994,55710532900.0,64950373854.0,321770566600,-9239840954.0,-0.028715618869783847
로보로보,215100,01063990,14290472752.0,1197161669.0,82004269620,13093311083.0,0.1596662118164476
아이비김영,339950,01414422,17315984776.0,39216961732.0,190573817200,-21900976956.0,-0.11492122725870446
프럼파스트,035200,00356389,25356656685.0,4223881124.0,62373081900,21132775561.0,0.3388124318577242
BGF리테일,282330,01263022,821519703023.0,1749936310886.0,2618511759000,-928416607863.0,-0.35455888432502547
HDC현대산업개발,294870,01310269,4870490426208.0,3546680078320.0,1591662019500,1323810347888.0,0.8317157359222895
지니언스,263860,00962223,27809628305.0,7856865956.0,114751890000,19952762349.0,0.1738774180451407
녹십자,006280,00129679,1160035011251.0,952441107252.0,2676217202000,207593903999.0,0.07756990121872775
녹십자홀딩스,005250,00108135,1524433142127.0,1633840402924.0,1305032827500,-109407260797.0,-0.08383487257296598
파라텍,033540,00105138,,54627532812.0,114809449990,,
시노펙스,025320,00203023,73807260724.0,96450176733.0,202516778870,-22642916009.0,-0.11180760495669838
티웨이홀딩스,004870,00109514,109166313512.0,653494501524.0,65541453282,-544328188012.0,-8.305097930464898
이수화학,005950,00145552,573244414113.0,710938542366.0,408209342400,-137694128253.0,-0.33731253538552036
삼화왕관,004450,00129235,62297538570.0,109903639782.0,91022512750,-47606101212.0,-0.523014579291539
하림지주,003380,00148364,2822507708954.0,6196094486323.0,865242853400,-3373586777369.0,-3.8990056538605096
아모텍,052710,00298447,173881940802.0,243423772861.0,235303254900,-69541832059.0,-0.29554130939903117
코리아센터,290510,00540340,142684746395.0,177922068082.0,522736369820,-35237321687.0,-0.06740935531065818
대상홀딩스,084690,00539274,1723687211327.0,1895533868772.0,358504126200,-171846657445.0,-0.4793435971476972
이트론,096040,00480756,59731380141.0,15391886097.0,262299374000,44339494044.0,0.16904155495239573
이녹스첨단소재,272290,01237540,220317622579.0,160079119913.0,820039221500,60238502666.0,0.07345807503671944
바이오리더스,142760,00587925,102893429739.0,102420490486.0,270247504960,472939253.0,0.00175002264339129
케이티스카이라이프,053210,00349097,494023421720.0,183784724961.0,449526480400,310238696759.0,0.6901455426673458
아바코,083930,00442145,186400774871.0,102310963198.0,188036135600,84089811673.0,0.44720027565276127
메타랩스,090370,00442835,24888167790.0,25392845285.0,62223463470,-504677495.0,-0.008110726514658282
티와이홀딩스,363280,01497869,258343062976.0,582113251001.0,1064547797500,-323770188025.0,-0.30413870451411085
팜스빌,318010,00986898,43631035185.0,13747806355.0,109821331300,29883228830.0,0.27210769052114014
동일고무벨트,163560,00939687,168234496559.0,91261834409.0,100358000000,76972662150.0,0.7669808301281412
성도이엔지,037350,00216498,273642053980.0,188182388321.0,86477300000,85459665659.0,0.9882323529874314
한국맥널티,222980,00579139,41258235648.0,29692458629.0,73006129350,11565777019.0,0.15842199993307823
바다로19호,155900,00910947,4914258233.0,1540509811.0,44916011820,3373748422.0,0.07511237719680518
폴루스바이오팜,007630,00167280,10329061155.0,84598153208.0,55134426375,-74269092053.0,-1.3470547702419984
위드텍,348350,00925587,96942542596.0,29307002274.0,187378240000,67635540322.0,0.36095728256386655
심텍홀딩스,036710,00152127,222525913260.0,496129541694.0,169770442325,-273603628434.0,-1.6116093277899752
솔트룩스,304100,01050738,39785798741.0,4751876148.0,150469617500,35033922593.0,0.23283054197303318
팬엔터테인먼트,068050,00397191,27399735057.0,36036991567.0,135286230630,-8637256510.0,-0.06384431342183224
솔루엠,248070,01159233,424207621760.0,311500677193.0,1145127117900,112706944567.0,0.0984230857912862
셀트리온헬스케어,091990,00554024,3517100960405.0,1793491965902.0,12758845385400,1723608994503.0,0.13509129881574808
스페코,013810,00136165,57701223143.0,41577112680.0,80018866200,16124110463.0,0.20150386063580591
라온피플,300120,01251489,58569595311.0,5701317646.0,185119545600,52868277665.0,0.2855899278147321
아이앤씨,052860,00365758,21239660988.0,14963458038.0,67342959580,6276202950.0,0.09319761099219571
코미코,183300,00997812,133992182584.0,151795317585.0,622269758700,-17803135001.0,-0.02860999550772481
네오크레마,311390,01219155,26813522155.0,10255195755.0,146559900000,16558326400.0,0.11297992424940247
모트렉스,118990,00876908,193040884654.0,319995988824.0,270429558360,-126955104170.0,-0.4694572033468154
에스티오,098660,00612188,44247286129.0,40546585764.0,30689896080,3700700365.0,0.12058367207739336
텔레칩스,054450,00423177,97400815995.0,87724619286.0,231626373650,9676196709.0,0.04177502136963582
HRS,036640,00230911,36354078302.0,13327312708.0,116119080000,23026765594.0,0.19830303162925508
덕성,004830,00114093,60359297274.0,39677608604.0,242256000000,20681688670.0,0.08537121338583978
KG케미칼,001390,00101220,1407339123198.0,2892473897698.0,439555243200,-1485134774500.0,-3.3787215542876727
녹십자엠에스,142280,00513948,81347537373.0,66589877873.0,156690239860,14757659500.0,0.09418365504568575
엔지스테크널러지,208860,01084364,63864511657.0,56665724526.0,25233717915,7198787131.0,0.28528444184282226
콤텍시스템,031820,00186559,105290317753.0,66713055259.0,107735804740,38577262494.0,0.35807281142141123
KISCO홀딩스,001940,00159740,1083407280839.0,229436787574.0,286383890000,853970493265.0,2.9819082814504685
핑거,163730,01142075,37284905134.0,14419660264.0,211573420600,22865244870.0,0.10807238832343197
송원산업,004430,00134963,457098000000.0,463937000000.0,490800000000,-6839000000.0,-0.01393439282803586
메디아나,041920,00273439,55838565988.0,11026565998.0,123360000000,44811999990.0,0.3632619973249027
와이엠씨,155650,00870861,71915324491.0,28979869457.0,147011274880,42935455034.0,0.2920555247823452
예선테크,250930,01166109,42385855244.0,32095110780.0,63855851400,10290744464.0,0.16115585711225833
티에스아이,277880,01139035,40426441130.0,24318391651.0,191829280500,16108049479.0,0.08397075481393988
롯데지주,004990,00120562,4055440646154.0,7997548780447.0,3288904579950,-3942108134293.0,-1.1986082412743426
서연,007860,00163114,980989215700.0,1361628859005.0,302889987600,-380639643305.0,-1.2566927230611435
동양피스톤,092780,00117726,,249936511312.0,81249398200,,
화천기공,000850,00166519,141392824221.0,87210708117.0,77660000000,54182116104.0,0.6976836995106876
올릭스,226950,01113718,64984952951.0,36612571731.0,561144402000,28372381220.0,0.05056163996090261
쿠쿠홀딩스,192400,00132354,358973426379.0,186362746428.0,682793952000,172610679951.0,0.2528005402587397
